order,xcoord,line,maskgood,wv_fit,Fpeak,line_wave_init_gf,line_x_init,line_a_gf,line_base,line_c_gf,line_x_gf
0,557.5319761390421,4158.5905,1.0,4158.705288454959,176.50287853497673,4158.553224722447,557.5493633996538,239.32784452739355,66.2,0.6303766103398564,557.6390704749548
0,593.8844371002244,4143.8688,1.0,4143.6189373628085,129.44602771952555,4143.804887572866,593.1639803613822,161.46243898033356,69.5,2.3716355221738556,593.3194055592618
0,622.8520569421985,4131.7235,1.0,4131.723560302962,175.2875799565643,4131.745002999014,622.8189730104693,379.7247146167011,73.0,-1.172110239230586,622.7662591698554
0,691.5777360959037,4103.9121,1.0,4103.911986132634,209.37717339060328,4103.9246879183565,691.6255560467831,407.979995782656,71.3,-1.0600225588629617,691.5941364011751
0,793.5442913753103,4063.5939,1.0,4063.593853482444,209.38631818144898,4063.6070509539054,793.5223452807847,479.3903138531053,90.6,-0.2630149226472105,793.4887008352126
0,819.5139034537792,4052.9208,1.0,4053.48850036017,148.089585945487,4053.508299839485,820.9155043175982,205.55059188194656,89.4,1.1818802395550028,819.4030941147851
0,839.1000765908275,4045.813,1.0,4045.9083885278233,340.89188137228666,4045.9018546622624,839.2559099549976,719.0176631486265,79.4,1.0834788190344868,839.0261320912235
0,1170.513882874208,3922.9115,1.0,3922.9002278959515,145.65997784615604,3922.983968151398,1170.4864228083654,127.13299143639229,86.6,-0.5552321743750009,1170.2814621837742
0,1275.387739405721,3886.282,1.0,3886.3174500226246,182.9697330741369,3886.551437060178,1276.1538630408074,243.51847924323786,93.4,0.9771313701178279,1275.3598213203306
0,1327.8829366989141,3868.5284,1.0,3868.5512346318483,122.18551883316911,3868.976736770368,1329.1251381563127,114.21039709991635,70.5,0.7948509435121122,1327.7707592075237
0,1353.0392253937277,3859.9114,1.0,3860.183449109725,193.99950491988488,3860.649330655681,1355.340616965256,244.53371584093478,77.8,0.8092665936996943,1353.0814615444867
0,1365.5720030619607,3856.3717,1.0,3856.0522571043375,173.510053584312,3856.570886387681,1366.2155175464773,204.6290470826013,83.5,0.7184092116677627,1365.6018690707183
1,532.1317968446522,4383.5445,1.0,4383.465981697742,187.3327356799566,4383.667667565086,532.4740078373524,315.3703854919179,65.9,1.020952697150005,532.2034301308581
1,549.2640138189131,4375.9294,1.0,4375.72125225842,132.16730214488848,4375.9866106783975,549.2536947788177,101.40976149895161,74.5,-0.5572499496761968,549.1272406252042
1,775.4930872139537,4277.5282,1.0,4277.275744286824,2278.3525520883622,4277.281510666493,774.8395646166913,6013.823012801708,84.5,0.9543055149879438,775.4246626516385
1,788.611993978411,4271.7593,1.0,4271.759774302882,938.7239879568219,4271.751961878288,788.5464181425516,2581.1499253072166,101.5,-1.1088688440434769,788.5638857118539
1,818.5501548877282,4259.3619,1.0,4259.242131178949,1102.6675023132912,4259.1919414390195,818.1746099203107,3051.3282031325803,91.3,1.0944684351923022,818.5824243692621
1,872.1184510194881,4237.2198,1.0,4237.079097325377,599.5034174440018,4237.062414576381,871.6683087415955,1270.3380957822849,133.8,-0.9746553457332467,872.0511399879485
1,907.6910464166958,4222.6373,1.0,4222.521279489797,208.3215737071232,4222.488767110967,907.2972638155658,414.1941378694853,91.2,1.1812519447718959,907.6617881296413
1,923.1790219316176,4216.1828,1.0,4216.221541963353,512.5118376242658,4216.153640677263,923.1675767159181,1086.8612991059206,120.5,-1.0172272208081914,923.2394180163094
1,961.6421004365003,4200.6745,1.0,4200.67565266608,2906.9725982125674,4200.639356255759,961.5499413854546,7499.533975916385,249.2,-0.9972441801975478,961.6373201847504
1,1053.2883070946054,4164.1795,1.0,4164.187329070872,518.0624800672313,4164.174386749559,1053.2732399000497,1239.6053698632911,84.4,1.0109504651233787,1053.286230697423
1,1067.5361282413846,4158.5905,1.0,4158.583285517072,3697.727004242002,4158.581860429313,1067.4955592239412,10219.707983731785,81.6,0.9923673287609084,1067.517580864409
1,1105.401189207047,4143.8688,1.0,4143.778935822669,572.0148650880885,4143.780671942303,1105.18564883116,1383.3590903677705,86.3,-0.9979318405167832,1105.412288038462
1,1136.5539505121237,4131.7235,1.0,4131.695972721894,2878.6715870610324,4131.720699336671,1136.5330315825377,7916.983206960713,101.4,1.0044146512352525,1136.540287001368
1,1170.7663277041115,4118.5442,1.0,4118.527837535011,136.6407905095466,4118.536231904971,1170.815736231799,195.05340331891847,82.3,1.659584326993535,1170.836547343017
1,1209.408874657665,4103.9121,1.0,4103.783923945334,1606.6014117187024,4103.843054202528,1209.21421508172,4189.919927371299,90.7,-0.964756495268531,1209.3962818166565
1,1317.4194650665927,4063.5939,1.0,4063.3270995173907,534.3173090593802,4063.430414949703,1317.0019108928598,1356.458760720646,74.6,1.0310578351148216,1317.4453897834328
1,1346.3198166276466,4052.9208,1.0,4052.699553612396,335.1013752926508,4052.822825308303,1346.0691719382576,707.1068771846435,96.2,-1.050700175316191,1346.337141730985
1,1366.0550558028076,4045.813,1.0,4045.4927107743188,668.7410883258456,4045.6793440914535,1365.562655404545,1756.528463714455,86.9,1.14150302933151,1365.9302611372993
1,2102.0,3820.4251,1.0,3820.429815920739,176.5,0.0,0.0,0.0,0.0,0.0,0.0
2,81.0,4859.7406,1.0,4859.740618345546,473.0,0.0,0.0,0.0,0.0,0.0,0.0
2,468.31188680709505,4657.9012,1.0,4657.846545979644,142.72518852550198,4658.3128798750795,469.2551622883873,137.87937730880407,78.2,0.6568535669292089,468.42559498334384
2,567.7381486980667,4609.5673,1.0,4609.513333212831,399.5993010530656,4609.728437438879,568.0983245614932,858.2991338214415,85.5,-0.9809721096037153,567.7640368260794
2,590.9665311988383,4598.7627,1.0,4598.40449075986,155.4751375297178,4598.496593259091,590.5869721010724,182.685182393614,69.5,0.8154523919873085,591.1426454786287
2,608.7654128024453,4589.8978,1.0,4589.937814757631,402.5360529247116,4590.071973273612,609.1459198687086,978.4139385029558,69.4,-1.0524079012105374,608.7803537942282
2,631.0311197285365,4579.3495,1.0,4579.401258451902,404.5187590907426,4579.510084632832,631.3557160062493,721.2210464515451,88.7,-0.893008547872666,631.0165384790338
